City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
110,Hithadhoo,MV,83.82,overcast clouds,-0.6,73.0833,Scoop Guest House
115,Matara,LK,79.48,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
121,Kerema,PG,77.11,overcast clouds,-7.9631,145.7785,Frena Lodge
124,Namibe,AO,75.27,light rain,-15.1961,12.1522,Hotel Chik Chik Namibe
126,Butaritari,KI,81.79,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
128,San Patricio,US,75.09,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
131,Samarai,PG,79.97,overcast clouds,-10.6167,150.6667,Nuli Sapi
138,Bengkulu,ID,78.12,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
139,Mahebourg,MU,80.26,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
140,Viedma,AR,76.51,broken clouds,-40.8135,-62.9967,Hotel Cristal
143,Avanigadda,IN,84.13,scattered clouds,16.0215,80.9181,AP Camping
144,Puerto Ayora,EC,78.76,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
149,Umm Lajj,SA,77.94,overcast clouds,25.0213,37.2685,Moon light Furnished Units
150,Cabo San Lucas,MX,89.62,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
157,Puerto Ayacucho,VE,88.99,broken clouds,5.6639,-67.6236,Posada Turistica Manapiare
163,Lorengau,PG,81.84,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
169,Kahului,US,75.85,few clouds,20.8947,-156.47,Maui Seaside Hotel
178,Les Cayes,HT,82.33,scattered clouds,18.2,-73.75,Villa Orphee
181,Tautira,PF,80.02,light rain,-17.7333,-149.15,Pension Oaoa
185,Saint George,US,78.8,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
187,Monte Carmelo,BR,81.34,clear sky,-18.7247,-47.4986,Park hotel
189,Road Town,VG,84.24,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
195,Acapulco,MX,84.02,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
207,Jilib,SO,81.73,light rain,0.4883,42.7854,Waadi Hotel
215,Hobyo,SO,83.19,clear sky,5.3505,48.5268,Iftin hotel hobyo
219,Ixtapa,MX,76.23,few clouds,20.7,-105.2,hotel la terminal
221,Port-Gentil,GA,75.16,thunderstorm with light rain,-0.7193,8.7815,Fengshui Residence
222,Anloga,GH,83.14,overcast clouds,5.7947,0.8973,Pin Drop Hotel
223,Puerto Narino,CO,84.07,overcast clouds,-3.7703,-70.3831,Eware Refugio Amazonico
224,Grenville,GD,86.05,scattered clouds,12.1167,-61.6167,Valley Breeze Guest House
225,Borazjan,IR,79.21,overcast clouds,29.2666,51.2159,شرکت زرمهریار شعبه سوم
227,Faanui,PF,81.34,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
232,Bandarbeyla,SO,81.5,clear sky,9.4942,50.8122,JABIR HOTEL
233,Caravelas,BR,80.04,few clouds,-17.7125,-39.2481,Pousada dos Navegantes
234,Oriximina,BR,88.52,broken clouds,-1.7656,-55.8661,Pousada Tia Amélia
235,Houston,US,77.29,broken clouds,29.7633,-95.3633,"Hotel ICON, Autograph Collection"
236,Kieta,PG,78.57,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
240,Zemio,CF,75.76,overcast clouds,5.0314,25.1361,OCHA Office
248,Puerto Escondido,MX,86.83,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
251,Dom Pedrito,BR,77.94,clear sky,-30.9828,-54.6731,Hotel Alexandre
252,Nhulunbuy,AU,81.21,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
254,West Bay,KY,85.06,scattered clouds,19.3667,-81.4167,Calypso Cove
255,Georgetown,MY,78.73,few clouds,5.4112,100.3354,Cititel Penang
258,Sabang,ID,83.71,overcast clouds,5.8933,95.3214,Hotel Citra
261,Sabha,LY,75.79,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
262,Ailigandi,PA,81.57,overcast clouds,9.2333,-78.0167,Akwa Reef Lodge
265,Conceicao Do Araguaia,BR,82.78,overcast clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
268,Enterprise,US,81.3,scattered clouds,36.0252,-115.2419,Las Vegas Motorcoach Resort
271,Presidencia Roque Saenz Pena,AR,84.07,clear sky,-26.7852,-60.4388,Hotel Gualok
274,Pueblo,US,76.84,clear sky,38.2545,-104.6091,Courtyard by Marriott Pueblo Downtown
277,Saint-Philippe,RE,78.39,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
280,Santa Fe,AR,80.02,light rain,-31.6333,-60.7,Conquistador Hotel
287,Karratha,AU,78.8,clear sky,-20.7377,116.8463,ibis Styles Karratha
288,Cayenne,GF,75.24,moderate rain,4.9333,-52.3333,Hôtel Le Dronmi
289,Luwuk,ID,77.72,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
