,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
116,Meybod,IR,32.2501,54.0166,68.02,10,0,2.39,clear sky
117,Nizhniy Kuranakh,RU,58.8353,125.4869,23.65,92,99,5.88,overcast clouds
118,Atar,MR,20.5169,-13.0499,99.16,10,100,13.44,overcast clouds
119,Dunedin,NZ,-45.8742,170.5036,57.79,76,100,5.01,overcast clouds
120,Shingu,JP,33.7333,135.9833,54.88,52,86,5.32,overcast clouds
121,Kerema,PG,-7.9631,145.7785,77.11,85,96,2.28,overcast clouds
122,Kropotkin,RU,45.4375,40.5756,57.4,98,100,6.78,overcast clouds
123,Xining,CN,36.6167,101.7667,39.83,21,4,2.13,clear sky
124,Namibe,AO,-15.1961,12.1522,75.27,82,65,7.38,light rain
125,Maputo,MZ,-25.9653,32.5892,70.23,77,40,14.97,scattered clouds
126,Butaritari,KI,3.0707,172.7902,81.79,74,31,16.4,scattered clouds
127,Luderitz,NA,-26.6481,15.1594,75.33,40,1,7.85,clear sky
128,San Patricio,US,28.017,-97.5169,75.09,75,95,16.8,overcast clouds
129,Bulaevo,KZ,54.9056,70.4439,46.94,87,100,10.0,overcast clouds
130,Sobolevo,RU,54.4299,31.8996,48.43,81,100,16.11,overcast clouds
131,Samarai,PG,-10.6167,150.6667,79.97,83,100,11.07,overcast clouds
132,Amposta,ES,40.7131,0.581,58.23,71,97,7.83,overcast clouds
133,Colares,PT,38.7992,-9.4469,60.76,57,40,35.99,scattered clouds
134,Yuci,CN,37.6803,112.7319,46.15,46,0,4.47,clear sky
135,Buraydah,SA,26.326,43.975,90.05,12,99,12.91,overcast clouds
136,Leningradskiy,RU,69.3833,178.4167,16.09,89,100,3.8,overcast clouds
137,Sayyan,YE,15.1718,44.3244,66.51,29,82,8.81,broken clouds
138,Bengkulu,ID,-3.8004,102.2655,78.12,88,100,4.76,moderate rain
139,Mahebourg,MU,-20.4081,57.7,80.26,94,75,8.05,broken clouds
140,Viedma,AR,-40.8135,-62.9967,76.51,22,58,15.19,broken clouds
141,Pooler,US,32.1155,-81.2471,66.06,45,0,12.66,clear sky
142,Gejiu,CN,23.306,103.1635,49.21,93,76,4.61,broken clouds
143,Avanigadda,IN,16.0215,80.9181,84.13,75,25,9.17,scattered clouds
144,Puerto Ayora,EC,-0.7393,-90.3518,78.76,83,66,9.64,broken clouds
145,Porto Santo,PT,33.072,-16.3415,61.18,67,75,18.41,broken clouds
146,Thunder Bay,CA,48.4001,-89.3168,37.29,53,40,9.22,scattered clouds
147,Chifeng,CN,42.2683,118.9636,56.66,22,1,9.84,clear sky
148,Mao,ES,39.8885,4.2658,64.96,52,0,11.5,clear sky
149,Umm Lajj,SA,25.0213,37.2685,77.94,67,86,9.35,overcast clouds
150,Cabo San Lucas,MX,22.8909,-109.9124,89.62,32,0,4.61,clear sky
151,Aykhal,RU,66.0,111.5,10.45,94,100,12.15,light snow
152,Aklavik,CA,68.2191,-135.0107,19.4,45,20,0.0,few clouds
153,Venezuela,VE,8.0,-66.0,96.33,31,35,8.48,scattered clouds
154,Yongan,CN,39.6957,113.6871,48.9,27,0,5.21,clear sky
155,Roald,NO,62.5833,6.1333,59.92,76,0,8.05,clear sky
156,Oranjemund,NA,-28.55,16.4333,76.44,33,1,8.99,clear sky
157,Puerto Ayacucho,VE,5.6639,-67.6236,88.99,55,77,0.76,broken clouds
158,Lompoc,US,34.6391,-120.4579,73.02,70,0,17.0,clear sky
159,Mezotur,HU,47.0,20.6333,46.42,79,93,0.92,light rain
160,Kharp,RU,66.8014,65.8081,29.5,98,92,7.61,light snow
