City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
134,Lorengau,PG,2022-04-18 19:12:26,-2.0226,147.2712,82.36,73,100,7.31
135,Ambovombe,MG,2022-04-18 19:12:27,-25.1667,46.0833,74.28,89,39,13.24
136,Souillac,MU,2022-04-18 19:12:27,-20.5167,57.5167,78.04,87,39,10.76
137,Njombe,TZ,2022-04-18 19:12:28,-9.3333,34.7667,57.92,98,69,5.75
138,Tomatlan,MX,2022-04-18 19:12:28,19.9333,-105.25,89.51,43,12,11.77
139,Bangui,CF,2022-04-18 19:12:29,4.3612,18.555,75.69,82,100,2.01
140,Labuhan,ID,2022-04-18 19:12:29,-6.8844,112.2051,79.48,88,100,5.88
141,Temyasovo,RU,2022-04-18 19:12:30,52.9933,58.1014,46.87,81,100,3.78
142,Keflavik,IS,2022-04-18 19:12:31,64.0049,-22.5624,45.03,70,75,16.11
143,Sayyan,YE,2022-04-18 19:08:55,15.1718,44.3244,66.34,28,99,4.63
144,Dondo,MZ,2022-04-18 19:12:32,-19.6094,34.7431,76.51,86,96,8.21
145,Severo-Kurilsk,RU,2022-04-18 19:12:33,50.6789,156.125,28.71,90,76,5.03
146,Westerland,DE,2022-04-18 19:12:33,54.9079,8.3033,53.62,50,0,1.14
147,Boende,CD,2022-04-18 19:12:34,-0.2167,20.8667,73.85,93,73,2.95
148,Zhigansk,RU,2022-04-18 19:12:34,66.7697,123.3711,28.8,96,100,16.44
149,Kastamonu,TR,2022-04-18 19:12:35,41.5,33.6667,45.01,86,100,5.12
150,Cabo San Lucas,MX,2022-04-18 19:09:38,22.8909,-109.9124,92.61,39,0,6.91
151,Fairbanks,US,2022-04-18 19:12:36,64.8378,-147.7164,36.91,35,0,10.36
152,Torbay,CA,2022-04-18 19:12:36,47.6666,-52.7314,43.39,67,24,15.01
153,Geraldton,AU,2022-04-18 19:12:37,-28.7667,114.6,55.81,67,0,10.36
154,Sault Sainte Marie,CA,2022-04-18 19:12:37,46.5168,-84.3333,34.36,85,100,5.75
155,Dingle,PH,2022-04-18 19:12:38,10.9995,122.6711,76.82,85,25,9.42
156,Bilma,NE,2022-04-18 19:08:44,18.6853,12.9164,84.2,14,40,10.58
157,Wajima,JP,2022-04-18 19:12:39,37.4,136.9,51.3,83,33,11.39
158,Castro,BR,2022-04-18 19:12:39,-24.7911,-50.0119,67.62,57,43,3.18
159,Uyuni,BO,2022-04-18 19:12:40,-20.4597,-66.825,58.19,9,0,13.31
160,Mandalgovi,MN,2022-04-18 19:12:40,45.7625,106.2708,44.53,34,0,15.48
161,Nador,MA,2022-04-18 19:12:41,35.174,-2.9287,66.45,77,0,1.14
162,Barra,BR,2022-04-18 19:12:41,-11.0894,-43.1417,82.58,59,100,3.91
163,Payo,ID,2022-04-18 19:12:42,-3.7508,103.6372,73.08,100,100,2.13
164,Maple Creek,CA,2022-04-18 19:11:42,49.9168,-109.4848,44.28,44,99,16.02
165,Livingston,GB,2022-04-18 19:12:44,55.9029,-3.5226,51.21,54,20,5.75
166,Avera,US,2022-04-18 19:12:44,33.194,-82.5271,69.31,71,63,9.37
167,The Valley,AI,2022-04-18 19:09:00,18.217,-63.0578,82.81,61,20,20.71
168,Rocha,UY,2022-04-18 19:09:17,-34.4833,-54.3333,71.8,51,71,9.71
169,Aksum,ET,2022-04-18 19:12:46,14.1245,38.7244,70.83,30,14,13.85
170,Quang Ngai,VN,2022-04-18 19:11:54,15.1167,108.8,71.98,93,82,7.0
171,Taoudenni,ML,2022-04-18 19:12:47,22.6783,-3.9836,84.65,10,6,9.71
172,Myaundzha,RU,2022-04-18 19:12:47,63.0494,147.1858,-0.58,100,98,2.19
173,Portland,US,2022-04-18 19:09:18,45.5234,-122.6762,52.9,86,100,9.22
174,Kwinana,AU,2022-04-18 19:12:48,-32.25,115.7667,56.8,70,0,6.31
